"","Species","Colony","Core","Total.init","PropD.init","MaxY.init","BleachLvl","Total.bleach","PropD.bleach","MaxY.bleach","RecovTemp","Total.recov","PropD.recov","MaxY.recov","BleachLvl2","Total.bleach2","PropD.bleach2","MaxY.bleach2","Total.recov2","PropD.recov2","MaxY.recov2"
"53","Ss","Ss6","Ss6_5",0.104824367,0.754349224927826,0.445,"Med",0.016190509,0.890244525357418,0.352,"24",0.113307453,0.984749891077333,0.424,NA,NA,NA,NA,NA,NA,NA
"54","Ss","Ss6","Ss6_6",0.065601822,0.496855666600236,0.459,"Low",0.112463229,0.768139975778216,0.326,"29",0.153263475,0.994720477269617,0.41,NA,NA,NA,NA,NA,NA,NA
"55","Ss","Ss6","Ss6_9",0.080111865,0.301319785777051,0.477,"Low",0.041326487,0.207795354103048,0.257,"29",0.182570769,0.994801692487805,0.411,NA,NA,NA,NA,NA,NA,NA
"56","Ss","Ss6","Ss6_11",0.438348712,0.128385245489212,0.484,"Med",0.013400631,0.690032357431527,0.291,"29",0.401069446,0.995084980868874,0.364,NA,NA,NA,NA,NA,NA,NA
"57","Ss","Ss6","Ss6_14",0.132632135,0.254550030428146,0.461,"Low",0.042968603,0.507976556743071,0.312,"24",0.203757669,0.944592127229331,0.573,NA,NA,NA,NA,NA,NA,NA
"58","Ss","Ss6","Ss6_16",0.06695031,0.446751434011284,0.478,"Med",NA,NA,0.306,"24",0.166891657,0.992461876030148,0.435,NA,NA,NA,NA,NA,NA,NA
"59","Ss","Ss6","Ss6_18",9.357640307,0.583882093428279,0.504,"High",0.032976698,1,0.333,"29",0.15103021,0.997589833186354,0.415,NA,NA,NA,NA,NA,NA,NA
"60","Ss","Ss7","Ss7_1",0.114761915,0.00906737222013069,0.533,"High",0.00088807,0.290122400261241,0.221,"29",0.064972858,0.987016424612259,0.309,NA,NA,NA,NA,NA,NA,NA
"61","Ss","Ss7","Ss7_4",0.148393937,0.523308603908797,0.479,"High",0.007058161,0.672819166352255,0.291,"29",0.096717695,0.960064174399524,0.318,NA,NA,NA,NA,NA,NA,NA
"62","Ss","Ss7","Ss7_6",0.038029374,0.0708839961446644,0.517,"High",0.00234739,0.0974213914177022,0.268,"24",0.116116457,0.456324808463627,0.43,NA,NA,NA,NA,NA,NA,NA
"63","Ss","Ss7","Ss7_11",1.935379578,0.155562030530013,0.502,"High",0.022544072,0.834927913643995,0.29,"29",0.062369477,0.956792727314356,0.346,NA,NA,NA,NA,NA,NA,NA
"64","Ss","Ss7","Ss7_13",0.108374151,0.0975436845636742,0.545,"High",0.008197686,0.933694459631657,0.286,"24",0.146651568,0.990365837752243,0.414,NA,NA,NA,NA,NA,NA,NA
"65","Ss","Ss8","Ss8_4",NA,NA,0.459,"Med",0.021852235,0.87506477026263,0.25,"24",0.182943996,0.984434187170592,0.37,NA,NA,NA,NA,NA,NA,NA
"66","Ss","Ss8","Ss8_6",1.565072883,0.536890909763466,0.444,"Low",0.160217184,0.862422360388009,0.274,"24",0.137626717,0.977967461070804,0.419,NA,NA,NA,NA,NA,NA,NA
"67","Ss","Ss8","Ss8_7",0.076371422,0,0.461,"Low",0.113224014,0,0.213,"24",0.137892814,0.543330024434776,0.572,NA,NA,NA,NA,NA,NA,NA
"68","Ss","Ss8","Ss8_11",0.610819637,0.0136764987468797,0.521,"High",0.001712415,0.256366009407766,0.281,"24",0.108143542,0.997057753111138,0.407,NA,NA,NA,NA,NA,NA,NA
"69","Ss","Ss8","Ss8_12",0.144258635,0.340650790158939,0.475,"Med",0.013575639,0.763858482094287,0.252,"29",0.095639824,0.997260712232176,0.33,NA,NA,NA,NA,NA,NA,NA
"70","Ss","Ss8","Ss8_15",0.192464237,0,0.534,"High",7.55302e-05,0,0.244,"24",0.394547591,0.990621202398876,0.389,NA,NA,NA,NA,NA,NA,NA
"71","Ss","Ss8","Ss8_17",2.73463688,0.979262799234976,0.507,"High",0.032943536,1,0.223,"29",0.131054846,0.9905903365069,0.337,NA,NA,NA,NA,NA,NA,NA
"72","Ss","Ss8","Ss8_20",0.141050912,0.0236805700341732,0.453,"Low",0.064361242,0.082967308182151,0.15,"29",0.338570217,0.995089467659821,0.288,NA,NA,NA,NA,NA,NA,NA
"73","Ss","Ss8","Ss8_22",0.193058957,0.977175640703373,0.428,"Low",0.107785945,0.956319369839917,0.345,"29",0.190798023,0.996174137506655,0.365,NA,NA,NA,NA,NA,NA,NA
"74","Ss","Ss8","Ss8_23",0.182866184,0.238617983082099,0.45,"Med",0.068293958,0.957565352999456,0.247,"24",0.300912604,0.995128160201624,0.403,NA,NA,NA,NA,NA,NA,NA
"75","Ss","Ss8","Ss8_25",0.697490751,0.944212982115945,0.452,"Med",3.289664673,0.948209927170288,0.275,"29",0.052066396,0.982318806932594,0.375,NA,NA,NA,NA,NA,NA,NA
"76","Ss","Ss8","Ss8_26",0.143683507,0.815793116742341,0.501,"High",0.003330995,0.964943207660174,0.275,"29",0.08906218,0.993568706717037,0.336,NA,NA,NA,NA,NA,NA,NA
"77","Ss","Ss9","Ss9_2",0.412932331,0.999098474563378,0.434,"Low",0.01895363,0.953945972354636,0.327,"24",0.284914422,0.994837084800151,0.572,NA,NA,NA,NA,NA,NA,NA
"78","Ss","Ss9","Ss9_4",0.256170468,1,0.427,"Med",0.050173719,1,0.303,"24",0.258201264,0.994421530020085,0.412,NA,NA,NA,NA,NA,NA,NA
"79","Ss","Ss9","Ss9_7",0.757177083,0.998934022148687,0.485,"High",0.087163603,1,0.378,"29",0.119776592,0.995109069391455,0.366,NA,NA,NA,NA,NA,NA,NA
"80","Ss","Ss9","Ss9_9",0.304574102,0.997605948781555,0.459,"Med",0.016514339,0.987526657894088,0.321,"29",0.290216138,0.998511306080436,0.379,NA,NA,NA,NA,NA,NA,NA
"81","Ss","Ss9","Ss9_14",NA,NA,0.473,"High",0.019547985,0.988690445588126,0.304,"29",0.213361313,0.996675132946899,0.401,NA,NA,NA,NA,NA,NA,NA
"82","Ss","Ss9","Ss9_15",0.090486228,0.998712356536732,0.456,"Low",0.110642556,0.995087993086494,0.327,"29",0.457748251,0.988581162268603,0.414,NA,NA,NA,NA,NA,NA,NA
"83","Ss","Ss9","Ss9_16",0.152057759,0.988685694098648,0.453,"Low",0.047940884,0.987454632668017,0.364,"29",0.116564498,0.989955783964342,0.336,NA,NA,NA,NA,NA,NA,NA
"84","Ss","Ss9","Ss9_17",0.630282256,0.996694157291967,0.499,"High",0.011413117,1,0.272,"24",0.401149401,0.998702433560408,0.407,NA,NA,NA,NA,NA,NA,NA
"85","Ss","Ss9","Ss9_19",0.268162648,0.971215368517691,NA,"Low",0.025940496,0.981099089238695,NA,"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Ss","Ss9","Ss9_21",3.392256865,0.999061461992207,0.44,"Med",0.045102494,1,0.356,"29",0.132980522,0.990906337395788,0.409,NA,NA,NA,NA,NA,NA,NA
"87","Ss","Ss9","Ss9_25",0.473148869,1,0.429,"Med",0.042847404,1,0.329,"24",0.110970097,0.990551679881833,0.402,NA,NA,NA,NA,NA,NA,NA
"88","Ss","Ss9","Ss9_26",0.8840828186,0.999954769395854,0.49,"High",0.001251569,0.693237847853375,0.423,"24",0.227587297,0.98933065231668,0.396,NA,NA,NA,NA,NA,NA,NA
"89","Ss","Ss10","Ss10_1",0.266748321,0.117865154247775,0.484,"Med",27.092219027,0.667092244529269,0.179,"29",0.08632658,0.993547306055678,0.416,NA,NA,NA,NA,NA,NA,NA
"90","Ss","Ss10","Ss10_2",0.150179364,0.0721427479210792,0.471,"Med",0.010198105,0.295963122560515,0.138,"24",0.24119887,0.935980006871508,0.351,NA,NA,NA,NA,NA,NA,NA
"91","Ss","Ss10","Ss10_4",0.317622498,0.071384971602358,0.525,"High",0.00022202,0.937487613728493,0.245,"24",0.566712061,0.997313559910277,0.4,NA,NA,NA,NA,NA,NA,NA
"92","Ss","Ss10","Ss10_6",0.128439961,0.044239424831342,0.485,"Med",0.003531473,0.622622061672282,0.158,"29",0.061380107,0.993578636153241,0.364,NA,NA,NA,NA,NA,NA,NA
"93","Ss","Ss10","Ss10_7",0.108289013,0.406411147177046,0.438,"Low",0.019886971,0.605977300414427,0.256,"24",NA,NA,0.394,NA,NA,NA,NA,NA,NA,NA
"94","Ss","Ss10","Ss10_10",0.175030435,0.253422394796654,0.484,"Med",0.211667199,0.777623045883458,0.191,"24",0.09684051,0.993762073330675,0.383,NA,NA,NA,NA,NA,NA,NA
"95","Ss","Ss10","Ss10_11",0.063267711,0.118384779243871,0.454,"Low",0.018066081,0.102498211980783,0.166,"24",0.046179699,0.916558637595278,0.568,NA,NA,NA,NA,NA,NA,NA
"96","Ss","Ss10","Ss10_14",0.10799027,0.0879975390375448,0.527,"High",0.000414995,1,0.209,"29",0.026065303,0.987151118097495,0.39,NA,NA,NA,NA,NA,NA,NA
"97","Ss","Ss10","Ss10_17",0.166851318,0.379142800658009,0.524,"High",0.002758058,1,0.304,"29",0.092616025,0.994101517528959,0.347,NA,NA,NA,NA,NA,NA,NA
"98","Ss","Ss10","Ss10_18",0.479159602,0.558969643688785,0.518,"High",0.0056556416,0.99259313037092,0.326,"24",0.767299662,0.9935665304646,0.393,NA,NA,NA,NA,NA,NA,NA
"99","Ss","Ss10","Ss10_22",0.1191854,0.201238314424418,0.49,"Med",0.002875784,0.647265928178194,0.202,"24",0.124283639,0.996613262989507,0.414,NA,NA,NA,NA,NA,NA,NA
"100","Ss","Ss10","Ss10_23",0.122827814,0.269034373598801,0.466,"Low",0.099124724,0.342442759285766,0.235,"29",NA,NA,0.366,NA,NA,NA,NA,NA,NA,NA
"101","Ss","Ss10","Ss10_24",0.129040714,0.192360226711083,0.468,"Low",0.019540672,0.502840639257442,0.216,"29",0.28303298,0.994300473393595,0.407,NA,NA,NA,NA,NA,NA,NA
"102","Ss","Ss10","Ss10_25",0.083437578,0.00762808575292058,0.47,"Low",0.029771848,0,0.096,"24",0.154969423,0.815213843830341,0.554,NA,NA,NA,NA,NA,NA,NA
"103","Ss","Ss10","Ss10_26",0.05403663,0.126272012151757,0.465,"Low",0.026913082,0.281175749399493,0.188,"29",0.073688809,0.980984602424501,0.372,NA,NA,NA,NA,NA,NA,NA
"104","Ss","Ss11","Ss11_3",0.224894058,0,0.467,"Low",0.043717211,0,0.252,"29",0.046361635,0.344935203428438,0.249,NA,NA,NA,NA,NA,NA,NA
"105","Ss","Ss11","Ss11_4",0.366805453,0,0.475,"Low",0.023766507,0,0.312,"24",NA,NA,0.427,NA,NA,NA,NA,NA,NA,NA
"106","Ss","Ss11","Ss11_8",1.877573648,0,0.525,"High",0.009796752,0.167040055724591,0.4,"24",0.249977432,0.997373206874131,0.379,NA,NA,NA,NA,NA,NA,NA
"107","Ss","Ss11","Ss11_9",0.332261401,0,0.48,"Med",0.022738794,0,0.181,"24",0.025737886,0.683185557663905,0.318,NA,NA,NA,NA,NA,NA,NA
"108","Ss","Ss11","Ss11_10",2.142668791,0,0.485,"Med",0.006143292,0,0.215,"24",0.116474096,0.646851279275007,0.349,NA,NA,NA,NA,NA,NA,NA
